trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,False,"{'a': 0.42, 'e': 0.7219385759785161}",35,0,-176.66540794801134,"{0: 21, 1: 5, 2: 6, 3: 0, 4: 3}",0
67,False,"{'a': 0.42, 'e': 0.7183288830986235}",25,0,-75.151106989558,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
68,False,"{'a': 0.42, 'e': 0.7147372386831303}",20,6,-93.59513635426778,"{0: 8, 1: 1, 2: 2, 3: 2, 4: 1}",1
69,False,"{'a': 0.42, 'e': 0.7111635524897147}",20,0,-27.188499255044267,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
70,False,"{'a': 0.42, 'e': 0.7076077347272661}",30,0,-69.29429011800039,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
71,False,"{'a': 0.42, 'e': 0.7040696960536298}",35,0,-73.16004783003505,"{0: 26, 1: 2, 2: 5, 3: 2, 4: 0}",0
72,False,"{'a': 0.42, 'e': 0.7005493475733616}",30,0,-49.83872566341144,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
73,False,"{'a': 0.42, 'e': 0.6970466008354949}",25,0,-110.66528574885118,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
74,False,"{'a': 0.42, 'e': 0.6935613678313174}",25,0,-87.89752140218279,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
75,False,"{'a': 0.42, 'e': 0.6900935609921608}",20,0,-134.1188750525632,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
76,False,"{'a': 0.42, 'e': 0.6866430931872}",30,0,-45.86394369263948,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
77,False,"{'a': 0.42, 'e': 0.683209877721264}",25,0,-113.70630786290364,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
78,False,"{'a': 0.42, 'e': 0.6797938283326577}",20,0,-86.94456311384708,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
79,False,"{'a': 0.42, 'e': 0.6763948591909944}",30,0,-208.00152868241955,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
80,False,"{'a': 0.42, 'e': 0.6730128848950394}",20,10,-7.453815175611409,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.42, 'e': 0.6696478204705641}",20,0,-36.27611969757253,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
82,False,"{'a': 0.42, 'e': 0.6662995813682113}",25,3,-75.27874328845297,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 1}",1
83,False,"{'a': 0.42, 'e': 0.6629680834613703}",20,0,-114.18225812479677,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
84,False,"{'a': 0.42, 'e': 0.6596532430440635}",25,8,-20.433178787397473,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
85,False,"{'a': 0.42, 'e': 0.6563549768288431}",25,0,-116.33599879301008,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
86,False,"{'a': 0.42, 'e': 0.653073201944699}",20,14,-22.987148818195553,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
87,False,"{'a': 0.42, 'e': 0.6498078359349754}",25,0,-93.24263982249207,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
